LANGUAGE,COUNTRY_NAME,ISLAND_NAME,SOVEREIGN,Glottocode,Comment,Source
'ARE'ARE,,Solomon Islands,,area1240,Glottolog languoid with matching name and matching country (infered from island name)
'LOW-COUNTRY SEMANG'/Meni Gul,Malaysia,,North-Western Malaysia,kens1248,Glottolog language with ELCAT name Semang-Dialekte
'LOW-COUNTRY SEMANG'/Semang of Juru',Malaysia,,North-Western Malaysia,kens1248,Glottolog language with ELCAT name Semang-Dialekte
(KAMBERA)EAST SUMBANESE/Kambera,Indonesia,,Indonesia,nucl1521,Glottolog dialect with closely matching name and same parent language
(KAMBERA)EAST SUMBANESE/Kanatang,Indonesia,,Indonesia,kana1287,Glottolog dialect with matching name and matching country
(KAMBERA)EAST SUMBANESE/Lewa,Indonesia,,Indonesia,lewa1240,Glottolog dialect with matching name and matching country
(KAMBERA)EAST SUMBANESE/Mangili-Waijelo,Indonesia,,Indonesia,mang1406,Glottolog dialect with matching name and matching country
(KAMBERA)EAST SUMBANESE/Melolo,Indonesia,,Indonesia,melo1243,Glottolog dialect with matching name and matching country
(KAMBERA)EAST SUMBANESE/Southern,Indonesia,,Indonesia,sout2885,Glottolog dialect with closely matching name and same parent language
(KAMBERA)EAST SUMBANESE/Umbu Ratu Nggai,Indonesia,,Indonesia,umar1237,Glottolog dialect with matching name and matching country
?,Indonesia,,Borneo,,
?,Taiwan,,Taiwan,,
? BAPU,Indonesia,,,,
? KUWANI,Indonesia,,,,
ABAGA,,Papua New Guinea,,abag1245,Glottolog languoid with matching name and matching country (infered from island name)
Abai,,,,abai1239,Glottolog dialect with matching name and matching region
ABAI SUNGAI,,,,abai1240,Glottolog language with matching name
ABASAKUR,,Papua New Guinea,,pall1244,Glottolog languoid with MultiTree name Abasakur
ABAU,,,,abau1245,Glottolog languoid with matching name and coordinate within polygons
ABORLAN-TAGBANWA,Philippines,,Philippines,tagb1258,Glottolog language with Ruhlen name Aborlan-Tagbanwa
ABUI,Timor-Leste,,East Timor,abui1241,Glottolog languoid with matching name and coordinate within polygons
ACEHNESE,Indonesia,,Indonesia,achi1257,Glottolog languoid with matching name and matching country
ADABE,Timor-Leste,,East Timor,adab1235,Glottolog languoid with matching name and matching country
ADASEN,Philippines,,Philippines,adas1235,Glottolog languoid with matching name and matching country
Adi,Indonesia,,,kowi1239,In the Atlas a dialect of Kaiwai in the area of Glottolog's Kowiai
Adiba,,,,gogo1265,Adiba [...] d of Gogodala W&H 1981,Carrington[423]
ADJORA,,Papua New Guinea,,abuu1241,Glottolog languoid with ELCAT name Adjora
ADYNYAMATHANHA,Australia,,Australia,adny1235,Glottolog language with closely matching name
Adzera Family,,Papua New Guinea,,adze1240,Glottolog language with matching name but differently classified
Adzrac,,Papua New Guinea,,adze1240,Dialect name in the Atlas in the area of the Adzera language
AEKA,,Papua New Guinea,,aeka1244,Glottolog languoid with matching name and matching country (infered from island name)
AFIFAMA-MANIAP,,Papua New Guinea,,arif1239,Typo when transcribing Atlas name 'Arifama-Miniafia'
Afore,,,,afor1239,Glottolog dialect with matching name
AGAATAHA,,Papua New Guinea,,anga1290,Glottolog languoid with closely matching name and coordinate within polygons
AGALA,,Papua New Guinea,,femb1238,Glottolog languoid with ELCAT name Agala
AGARABI,,Papua New Guinea,,agar1252,Glottolog languoid with matching name and matching country (infered from island name)
AGARLUMA,Australia,,Australia,ngar1287,Typo when transcribing Atlas name 'Ngarluma'
AGHU,Indonesia,,,aghu1255,Glottolog languoid with matching name and matching country
AGI,,Papua New Guinea,,agii1245,Glottolog languoid with matching name and matching country (infered from island name)
AGOB,,Papua New Guinea,,agob1245,Glottolog languoid with closely matching name and coordinate within polygons
AGTA,Philippines,,Philippines,cent2084,
Agufi,,Solomon Islands,,aguf1237,Glottolog dialect with matching name in matching region
AGUSAN MANOBO,Philippines,,Philippines,agus1235,Glottolog languoid with matching name and matching country
AIKL,,Papua New Guinea,,yang1294,Typo when transcribing Atlas name 'AIKU' which matches a Glottolog bookkeeping languoid that has been split into four languages
AIKWAKAI,,,,sika1263,Glottolog languoid with Ruhlen name Aikwakai
AIOME,,Papua New Guinea,,aiom1240,Glottolog languoid with matching name and matching country (infered from island name)
AION Others,,Papua New Guinea,,amba1269,Aion matches a Glottolog language in the area with matching ELCAT name
AIRORAN,Indonesia,,,airo1242,Glottolog languoid with matching name and matching country
AJIE,,New Caledonia,,ajie1238,Glottolog languoid with closely matching name and coordinate within polygons
AK,,Papua New Guinea,,akkk1240,Glottolog languoid with matching name and matching country (infered from island name)
Akabard,,Papua New Guinea,,akab1250,Typo when transcribing Atlas name 'Akabar|fa' which seems close enough the Glottolog dialect Akabafa in the area
AKEI,,,,akei1237,Matches Glottolog language Akei in the same area
AKHA,Lao People's Democratic Republic,,Laos,akha1245,Glottolog languoid with matching name and matching country
AKHA,Myanmar,,,akha1245,Glottolog languoid with matching name and matching country
AKHA,Thailand,,Thailand,akha1245,Glottolog languoid with matching name and matching country
AKHA/LAHU,Myanmar/Thailand,,,akha1245,
AKLANON,Philippines,,Philippines,akla1240,Glottolog languoid with matching name and matching country
AKRUKAI,,Papua New Guinea,,akru1241,Matches ELCAT name 'Akrukay' of Glottolog language
ALAK,Lao People's Democratic Republic,,Laos,alak1253,Glottolog languoid with matching name and matching country
ALAMBLAK Karawari,,Papua New Guinea,,kara1494,Matches Glottolog parent language + dialect name
