glottocode,npolys,spread,coastal,language
achi1257,3,0.5968348767254648,True,Acehnese
adon1237,2,0.021569090801953534,True,Adonara
adze1240,2,0.6452123223625077,False,Adzera
aigh1235,2,0.24464034876865182,False,Aighon
akha1245,14,1.036208247567121,False,Akha
alak1253,2,0.502395396896374,False,Alak
alor1247,5,0.12824156454269348,True,Alorese
aman1265,2,0.031937723344384786,False,Amanab
ambo1250,7,0.8410577726343386,True,Ambonese Malay
amis1246,5,0.20111739419246266,True,Amis
anga1290,2,0.052626189451337804,False,Angaataha
anga1292,2,0.11979323084946383,False,Angal Heneng
anut1237,2,0.2949897214665329,True,Anuta
apal1256,2,0.08343399920201805,False,Apali
apma1240,2,0.01656879181901312,True,Apma
area1240,2,0.5175089164300201,True,'Are'are
arif1239,4,0.18537043918119622,False,Arifama-Miniafia
arop1243,5,0.43365580989445385,True,Arop-Lokep
asar1240,2,1.1904556706072098,False,Asaro'o
atay1247,2,0.06513968732007734,False,Atayal
aust1304,3,1.1436413560434964,True,Austral
awac1238,4,0.354797170528771,False,Lavia-Awalai-Damangnuo Awa
baba1268,2,0.16450056652408848,True,Babatana
babu1240,2,0.1376640047071478,True,Babuza
baha1257,2,0.15819403028245868,False,Bahau
baik1238,2,0.8038438083380091,True,Baikeno
bali1278,2,0.3776396102546479,True,Balinese
bamu1257,2,0.01765236326278465,True,Bamu
bang1365,2,0.8379135958272572,True,Bangka
banj1239,7,5.0909843992928865,False,Banjar
bant1286,4,0.33258904342470286,True,Bantik
bara1370,2,0.14134947496126113,False,Baram Kayan
baru1269,2,0.04079824255856266,False,Baruga
basa1286,5,1.0871802782080424,False,Basap
basa1287,3,0.14805316326490936,True,Basay
bata1294,2,0.3522493532290651,False,Batak Dairi
bate1262,3,0.40943885521284645,False,Batek
baub1235,2,0.046376362405026794,False,Bau-Jagoi Bidayuh
beng1287,3,0.15881209499057605,False,Benggoi
besi1244,4,0.38640185075348327,False,Besisi
biak1248,14,2.07804813438211,True,Biak
biem1237,4,0.1310553102781949,True,Biem
bier1246,2,1.2851428337232857,True,Bieria
bima1247,5,3.0299201647862746,True,Bima
bimi1240,2,0.34943913277027794,False,Bimin
bina1277,2,0.2029205771501767,True,Binandere
bint1246,5,0.532436860285802,False,Bintulu
bitt1240,2,0.5849535085612192,False,Bit
blag1240,2,0.03014263401165949,True,Blagar
boik1241,3,0.10453130941294397,True,Boikin
bola1252,2,0.8771103590120007,True,Bolango
bolo1268,2,0.4350134716835174,False,Bolongan
book1241,2,0.180576087291189,False,Bookan
brun1242,8,1.1562751019425996,False,Brunei
brun1245,2,0.3886227691752253,False,Brunei Bisaya-Dusun
bugh1239,2,0.0498831870883712,True,Bughotu
bugi1244,3,1.1069815680291133,False,Buginese
buka1261,4,0.35336163783191915,False,Bukat
buki1247,4,3.023604674457443,False,Bukit Malay
buki1248,5,0.5163418959160204,False,Bukitan
bung1269,8,1.074212701460571,True,Bungku
bunu1267,2,0.04918404944125706,False,Bunun
buru1309,2,0.07330554031472548,False,Burui
caac1237,2,2.596322257500037,True,Caac
cala1258,3,0.2313876641715525,True,Calamian Tagbanwa
caol1238,3,0.1674614328937717,False,Cao Lan
caro1242,3,1.5456532955713722,True,Carolinian
cebu1242,10,1.1323678171440488,False,Cebuano
cent1989,5,2.563768153435277,False,Central Khmer
cent2053,3,0.7434615563341276,False,South Barisan Malay
cent2087,5,0.392349262808402,True,Coastal-Naga Bikol
cent2101,6,0.49701350637205177,True,Central Melanau
cham1312,10,1.8476113966547094,True,Chamorro
cina1236,3,1.3606599404728348,True,Cinamiguin Manobo
coll1240,2,0.2618282197594134,False,Col
dadi1250,2,0.06808875829729899,False,Dadibi
djee1236,2,2.8619400529220616,True,Djeebbana
dobu1241,2,0.03841624282684271,True,Dobu
doga1238,2,0.11957872014720414,False,Doga
east2332,2,0.12706379684211658,False,Eastern Bru
east2440,9,0.15318368517277842,True,East Makian
east2516,2,0.02266402459737641,False,East Kewa
east2563,7,1.579983767014516,False,Eastern Cham
emba1238,6,0.18462904674055097,False,Embaloh
enga1252,2,0.11184351103479363,False,Enga
engg1245,7,5.952287459680943,False,Enggano
ewag1241,4,0.27357962976891115,True,Ewage-Notu
faiw1243,2,0.15456050647719807,False,Faiwol
fasu1242,2,0.18009375777109998,False,Fasu
fiji1243,3,0.613348522681583,True,Fijian
folo1238,5,0.15288414941641854,False,Folopa
ford1242,2,0.021780092047082304,True,Fordata
futu1245,2,0.6288497243557015,True,Futuna-Aniwa
gads1258,3,0.05155927123368982,False,Gadsup
gale1259,2,0.1779433002418315,True,Galela
galo1243,4,0.11191213645711576,True,Galoli-Talur
gayo1244,2,0.3032912898034576,False,Gayo
gebe1237,2,0.10240901848494341,True,Gebe
gese1240,4,0.22537885901339488,True,Geser-Gorom
ghay1237,2,0.01985986626359529,False,Ghayavi
gilb1244,11,1.7801276099857486,True,Gilbertese
guhu1244,3,0.09887290946530984,False,Guhu-Samane
hawa1245,7,1.3663183417896532,True,Hawaiian
hili1240,5,2.0423916670672257,False,Hiligaynon
hiww1237,2,0.020437030629988362,True,Hiw
hovo1239,2,0.5274966348132191,False,Hobongan
hung1275,2,0.10282089769726234,False,Hung
iatm1242,2,0.30593375747465806,False,Iatmul
iban1264,10,2.3310588386857396,False,Iban
iban1267,2,0.6071619200125878,False,Ibanag
ilok1237,3,2.035158468047296,True,Iloko
inon1237,2,0.48056447283196435,True,Inonhan
ipil1240,2,0.012439354087252764,False,Ipili
iran1262,2,1.7522311123282457,True,Iranun
java1254,7,4.698968499686453,False,Javanese
jeha1242,2,0.46453214155696354,False,Jehai
kaib1244,2,0.06635135559251924,True,Kaibobo
kair1263,3,0.011871548366295158,True,Kairiru
kair1265,2,0.20726179869889064,False,Kairui-Midiki
kala1377,3,0.5667999397023398,True,Kala Lagaw Ya
kala1388,4,1.7307061939871773,True,Kalagan
kamb1299,2,0.9877581461377237,True,Kambera
kamb1302,2,0.03991252138201662,True,Kamberau
kano1244,2,0.035297467034672896,True,Kanowit-Tanjong Melanau
kaoo1238,2,0.04700268423887285,False,Kao
kaul1240,2,0.44764364917908417,True,Kaulong
kaur1267,2,0.592320892948191,True,Kaurna
kawe1240,9,0.23729389673695508,True,Kawe
kaya1324,4,0.2841305797773312,False,Kayan Mahakam
keap1239,2,0.025020592063240563,True,Keapara
kela1255,3,0.07926424340825107,True,Kela (Papua New Guinea)
kela1258,2,0.22086357893380643,False,Kelabit
kena1236,3,0.2658065642330488,False,Kenaboi
keni1249,2,0.037192605807236864,False,Keningau Murut
kens1248,2,2.7199658998933547,False,Kensiu
kete1254,3,1.895721661881214,False,Ketengban
keya1238,2,0.014010207459320832,False,Keyagana
khan1274,3,0.17054791807374173,False,Kháng
khmu1256,12,1.0423804909623902,False,Khmu
kibi1239,2,0.14623711103943837,False,Kibiri
kora1294,2,0.043658887291233774,True,Korafe-Yegha
kuan1248,3,0.03921754479644083,True,Kuanua
kubu1239,2,1.3299940487484845,False,Kubu
kuii1253,2,0.024092463385451724,True,Kui (Indonesia)
kuma1276,3,0.03700413953534374,True,Nêlêmwa-Nixumwak
kuru1305,2,0.05679333711098744,True,Kurudu
kuyy1240,18,4.552461029352796,False,Kuy
laha1250,2,0.3323042470930057,False,Laha (Viet Nam)
lahu1253,12,1.1881266518160594,False,Lahu
lama1277,4,0.5563207054908704,True,Lamaholot
lame1256,2,1.4172965052219708,False,Lamet
lana1236,2,0.19608883130015264,False,Lanas Lobu
lauj1238,3,0.37808280561384455,True,Lauje
lawa1257,2,0.6179739967044703,False,Lawangan
ledo1238,12,0.7788299514640405,False,Ledo Kaili
lege1241,2,0.3003333011080801,True,Legenyem
lela1246,2,0.15055443372169008,False,Lelak
lisa1239,4,0.1634747012760173,True,Lisabata-Nuniali
lisu1250,4,1.3846902204523674,False,Lisu
lolo1264,2,0.6655064008366044,True,Loloda-Laba
loto1240,4,0.03956670017980874,True,Lo-Toga
luan1263,5,0.5527934718097844,True,Luang
lubu1241,2,0.061658751965622746,False,Lubu
luhu1243,5,0.17216190479673796,False,Luhu-Piru
lund1271,5,0.27486175602522717,False,Lundayeh
luuu1242,8,0.5754533844429739,False,Lü
maan1238,3,0.2854309095918042,False,Ma'anyan
maba1278,3,0.0755312884163863,True,Maba (Indonesia)
mafe1237,2,0.01783848202537064,True,Mafea
maha1308,3,0.4196272784142848,False,Mahakam Kenyah
mail1248,3,0.32383133261162544,True,Mailu
main1275,7,0.6050777701166402,False,Usun Apau Kenyah
mais1250,3,0.12211733003976322,False,Maisin
mala1479,10,4.428783650741801,False,Central Malay
mala1487,2,0.009460202589803016,True,Malasanga
mala1494,5,0.08937777230759827,False,Mala (Papua New Guinea)
mall1246,2,0.1895537230759873,False,Mal
mand1440,2,0.040830546521299416,True,Mandara
mand1442,2,4.0747490577413785,True,Mandar
mang1401,3,0.5031699683923859,True,Mangareva
maor1246,2,0.09989088973048074,True,Maori
mapi1250,2,0.029649774644622363,True,Mapia
maro1244,4,0.1136764929622081,True,Marovo
mars1254,26,2.5171101320934683,True,Marshallese
mart1255,3,0.03378211597075236,True,Martuthunira
masb1238,3,0.06851576310442967,True,Masbatenyo
matb1237,3,0.32444898335170885,True,Matbat
maya1282,2,0.3232784907702854,True,Misool-Salawati Ma'ya
mbul1263,3,0.1002382644046427,True,Mbula
meng1267,2,0.08909956395364599,True,Mengen
ment1249,4,0.530707286219601,True,Mentawai
mera1242,2,0.05716844559217739,True,Meramera
mina1268,6,2.4491144348359852,False,Minangkabau
mink1237,3,2.4950730054090045,False,Minkin
moda1244,6,0.5205207162274353,False,Modang
moii1235,2,0.07595282444864555,True,Moi (Indonesia)
molb1237,2,0.23829255223347598,True,Molbog
moli1248,2,0.011567961674499866,False,Molima
mong1342,2,0.020460796021787794,True,Mongondow
moni1261,2,0.17833736169944597,False,Moni
monn1252,3,0.5340086499590458,False,Mon
mono1273,3,0.18869841547500013,True,Mono-Alu
morm1235,3,0.06005787834040848,True,Mor (Mor Islands)
moro1287,2,0.20416380193040182,True,Moronene
mort1237,7,0.8993871217900451,True,Mortlockese
motu1246,2,0.28149919448527827,True,Motu
moun1252,2,0.22926685499751057,False,Mountain Koiali
muna1247,2,0.045052801975305395,True,Muna
muon1246,4,1.1848597075292429,False,Muong
muri1259,3,0.5055557706098099,False,Murik (Malaysia)
naka1262,2,0.08834066604668062,True,Nakanai
nali1244,2,0.05167915414838148,True,Nalik
nama1268,3,0.11806490652237346,True,Namakura
namo1247,2,0.4255450570107839,True,Namonuito
naro1251,3,0.11786386254210446,False,Narom
nete1240,2,0.16763136736444376,False,Nete
ngar1287,4,0.07573961830489964,True,Ngarluma
nhuw1239,2,0.5102694404058673,True,Nhuwala
nort2740,2,0.576560874970039,False,Northern Thai
nort2836,4,0.27272558407154407,True,North Efate
nort2864,2,0.1658572844161415,True,Wemale
nots1237,2,0.03423435898883134,False,Notsi
nucl1460,3,0.6800941641958174,True,Madurese
nuku1259,2,0.04235648138863596,True,Nukuria
nume1242,2,0.4615784436443922,True,Numee
